Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Опанасенко,Аніта,Петрович,Жіноча,16/09/1993,Провізор,місто Добромиль,"сквер Садова 5-та, буд. 6, Носівка, 43678",067 820 18 00,qsachenko@example.com
Ващенко-Захарченко,Єва,Олександрівна,Жіноча,22/05/1980,Археолог,місто Ірпінь,"провулок Газова, буд. 1, Миколаївка , 88021",+380 63 748-78-56,nestaikotrokhym@example.org
Чміль,Демид,Васильович,Чоловіча,21/07/1953,Ґрунтознавець,місто Ходорів,"набережна Таїрова, буд. 4 кв. 4, Чортків, 04340",+380 05 739-84-21,odarkaieshchenko@example.com
Дзиндра,Віолетта,Петрович,Жіноча,17/01/1956,Програміст,хутір Токмак,"вулиця Каманіна, буд. 2 кв. 013, Рахів, 46652",616-37-32,zhurbakyrylo@example.net
Гайдай,Вікторія,Іванович,Жіноча,12/09/1992,Лікар,селище Волочиськ,"шосе Чубаївський, буд. 4, Бровари, 71930",+380 89 355-89-96,olhazhalilo@example.org
Гуцуляк,Вадим,Іванович,Чоловіча,06/11/2006,Композитор,селище Хуст,"площа Марії Демченко 2-й, буд. 81 кв. 529, Збараж, 17086",097 193-69-08,romanbabiuk@example.net
Полтавець,Юстина,Олексійович,Жіноча,11/05/1974,Маркетолог,селище Буськ,"набережна Гаршина, буд. 1 кв. 0, Мукачево, 75495",+380 58 002-50-90,ustymdavydenko@example.net
Вишиваний,Вʼячеслав,Олексійович,Чоловіча,11/11/1975,Редактор,місто Южне,"парк Оборони Ленінграду, буд. 5, Золочів, 16067",482 68 82,iefremlahoda@example.com
Артимович,Прохір,Андрійович,Чоловіча,19/05/1954,Реабілітолог,село Могилів-Подільський,"проспект Змієнка Всеволода, буд. 99, Могилів-Подільський, 09268",070 330 85 73,iushchenkohryhorii@example.org
Заруба,Дарина,Васильович,Жіноча,17/06/1991,Економіст,село Волочиськ,"набережна Кострова, буд. 4 кв. 822, Моспине, 28230",211 09 69,okseniiazabila@example.com
Корпанюк,Галина,Олексійович,Жіноча,30/08/2003,Хімік,місто Мирноград,"набережна Монастирський, буд. 029, Золотоноша, 88384",+380 (62) 281-27-12,stefan08@example.org
Заруба,Теодор,Андрійович,Чоловіча,11/05/1999,Адвокат,хутір Маріуполь,"площа Кільовий, буд. 571 кв. 6, Кам'янське, 56220",779 21 50,gzasiadko@example.com
Нестеренко,Богодар,Олександрівна,Чоловіча,15/12/1991,Гірничий інженер,хутір Ковель,"проспект Змієнка Всеволода, буд. 044 кв. 0, Тиврів, 93079",+380 29 627-37-01,andrii68@example.org
Ейбоженко,Данило,Васильович,Чоловіча,05/01/1955,Будник,село Бобровиця,"вулиця Травневий, буд. 67, Яворів, 01656",071 687 05 77,ntsiupa@example.org
Рубан,Сніжана,Олександрівна,Жіноча,12/04/1998,Гицель,село Луганськ,"шосе Тиха, буд. 973 кв. 00, Червоноград, 91248",+380 59 506 22 88,alevtyn32@example.net
Власюк,Богуслава,Олексійович,Жіноча,14/07/1975,Історик,хутір Вишгород,"площа Друга, буд. 2, Сторожинець, 50999",365-04-62,olena75@example.net
Валенко,Богданна,Іванівна,Жіноча,24/05/1943,Гицель,хутір Новоселиця,"проспект Змієнка Всеволода, буд. 4 кв. 256, Ладижин, 44333",861 43 19,mtiahnybok@example.net
Хомик,Галина,Олексійович,Жіноча,10/12/2006,Промисловець,селище Старобільськ,"узвіз Марата, буд. 3, Ірпінь, 73890",472-96-54,filipenkodemian@example.net
Міщенко,Людмила,Олексійович,Жіноча,27/01/1962,Художник,селище Боярка,"вулиця Селищна, буд. 7, Дрогобич, 68835",034 260-62-26,hryhorii46@example.com
Артимишин,Святослав,Петрівна,Чоловіча,21/06/2005,Маркетолог,селище Чистякове,"площа Лінія 36-та, буд. 1, Євпаторія, 91211",+380 74 595 43 15,aronetsmaksym@example.org
Бандера,Галина,Олексійович,Жіноча,03/10/1976,Ювелір,місто Сокаль,"узвіз Амундсена, 3-й, буд. 75, Зимогір'я, 34896",+380 26 088 43 95,markookhrimenko@example.org
Андрусенко,Альберт,Андрійович,Чоловіча,27/11/1938,Гірничий інженер,хутір Мала Виска,"площа ім. С.Ю. Вітте, буд. 765, Стебник, 03324",077-31-73,ziaremko@example.net
Уманець,Любов,Андрійович,Жіноча,19/07/1980,Електрик,село Вінниця,"набережна Чернігівський, буд. 956 кв. 50, Родинське, 98676",+380 61 203-28-58,vdanylchuk@example.net
Вернигора,Захар,Василівна,Чоловіча,15/04/1999,Сценарист,село Долина ,"узвіз Васнецова, буд. 1, Устилуг, 76502",+380 (52) 476-48-18,havrylo85@example.net
Макаренко,Петро,Петрівна,Чоловіча,23/05/1995,Астроном,село Вишгород,"шосе Наявний 5-й, буд. 6, Ужгород, 13743",+380 35 278 66 76,raksymon@example.com
